ticker,date,sec_accession_number,source_url
AMD,2021-04-27,0000002488-21-000054,https://www.sec.gov/Archives/edgar/data/2488/000000248821000054/amd-20210427.htm
AMD,2021-07-27,0000002488-21-000114,https://www.sec.gov/Archives/edgar/data/2488/000000248821000114/amd-20210727.htm
AMD,2021-10-26,0000002488-21-000176,https://www.sec.gov/Archives/edgar/data/2488/000000248821000176/amd-20211026.htm
AMD,2022-02-01,0000002488-22-000014,https://www.sec.gov/Archives/edgar/data/2488/000000248822000014/amd-20220201.htm
AMD,2022-05-03,0000002488-22-000074,https://www.sec.gov/Archives/edgar/data/2488/000000248822000074/amd-20220429.htm
AMD,2022-08-02,0000002488-22-000120,https://www.sec.gov/Archives/edgar/data/2488/000000248822000120/amd-20220802.htm
AMD,2022-11-01,0000002488-22-000168,https://www.sec.gov/Archives/edgar/data/2488/000000248822000168/amd-20221101.htm
AMD,2023-01-31,0000002488-23-000007,https://www.sec.gov/Archives/edgar/data/2488/000000248823000007/amd-20230131.htm
AMD,2023-05-02,0000002488-23-000074,https://www.sec.gov/Archives/edgar/data/2488/000000248823000074/amd-20230502.htm
AMD,2023-08-01,0000002488-23-000135,https://www.sec.gov/Archives/edgar/data/2488/000000248823000135/amd-20230801.htm
AMD,2023-10-31,0000002488-23-000192,https://www.sec.gov/Archives/edgar/data/2488/000000248823000192/amd-20231031.htm
AMD,2024-01-30,0000002488-24-000009,https://www.sec.gov/Archives/edgar/data/2488/000000248824000009/amd-20240130.htm
AMD,2024-04-30,0000002488-24-000054,https://www.sec.gov/Archives/edgar/data/2488/000000248824000054/amd-20240430.htm
AMD,2024-07-30,0000002488-24-000121,https://www.sec.gov/Archives/edgar/data/2488/000000248824000121/amd-20240730.htm
AMD,2024-10-29,0000002488-24-000161,https://www.sec.gov/Archives/edgar/data/2488/000000248824000161/amd-20241029.htm
AMD,2025-02-04,0000002488-25-000009,https://www.sec.gov/Archives/edgar/data/2488/000000248825000009/amd-20250204.htm
AMD,2025-05-06,0000002488-25-000045,https://www.sec.gov/Archives/edgar/data/2488/000000248825000045/amd-20250506.htm
AMD,2025-08-05,0000002488-25-000106,https://www.sec.gov/Archives/edgar/data/2488/000000248825000106/amd-20250805.htm
AMD,2025-11-04,0000002488-25-000163,https://www.sec.gov/Archives/edgar/data/2488/000000248825000163/amd-20251104.htm
AMD,2026-02-03,0000002488-26-000014,https://www.sec.gov/Archives/edgar/data/2488/000000248826000014/amd-20260203.htm
AMD,2026-05-05,0000002488-26-000072,https://www.sec.gov/Archives/edgar/data/2488/000000248826000072/amd-20260505.htm
AMD,2026-08-04,0000002488-26-000121,https://www.sec.gov/Archives/edgar/data/2488/000000248826000121/amd-20260804.htm
TSLA,2018-02-07,0001564590-18-001521,https://www.sec.gov/Archives/edgar/data/1318605/000156459018001521/tsla-8k_20180207.htm
TSLA,2018-05-02,0001564590-18-010306,https://www.sec.gov/Archives/edgar/data/1318605/000156459018010306/tsla-8k_20180502.htm
TSLA,2018-08-01,0001564590-18-018490,https://www.sec.gov/Archives/edgar/data/1318605/000156459018018490/tsla-8k_20180801.htm
TSLA,2018-10-24,0001564590-18-024902,https://www.sec.gov/Archives/edgar/data/1318605/000156459018024902/tsla-8k_20181024.htm
